segmentKeys,lat_dd,lon_dd,width_m
1_3758,39.064680706,-95.531648834,156.0
1_3943,39.0604377891,-95.4711749145,332.0
1_4137,39.061274584,-95.4053335134,313.0
1_4310,39.0320597389,-95.3468154365,171.0
1_4501,39.033841581,-95.2843204356,151.0
1_4679,38.9998180604,-95.2407919758,202.0
1_4870,38.9666277676,-95.2023519739,202.0
1_5054,38.9771099371,-95.1548889098,214.0
1_5237,38.9577830424,-95.1030659908,129.0
1_5416,38.982771194,-95.0812945482,170.0
1_5595,38.9845958699,-95.0236838188,365.0
1_5783,38.9875763402,-94.9759726458,159.0
1_5966,39.0016979865,-94.9235365806,145.0
1_6141,39.0043074713,-94.8962389914,233.0
1_6324,39.0521305861,-94.8808775681,169.0
1_6505,39.0495804951,-94.8201448084,279.0
7_72,39.9811610839,-95.2978271006,212.0
7_209,39.9533257813,-95.2565107926,254.0
7_354,39.9387550348,-95.2061766775,254.0
7_500,39.9008377796,-95.1961871087,257.0
7_649,39.9019478432,-95.144112819,270.0
7_795,39.8706961483,-95.1166574837,256.0
7_948,39.8627488259,-95.0627544424,255.0
7_1101,39.8846122099,-95.0260470084,195.0
7_1251,39.8963254511,-94.9816541433,256.0
7_1397,39.8894844511,-94.9305835072,258.0
7_1543,39.8504313762,-94.9386056592,233.0
7_1684,39.8334054222,-94.8893978203,238.0
7_1835,39.7940850273,-94.8807882363,248.0
8_33,40.0084572654,-95.3113946621,244.0
8_94,40.0169471294,-95.3327706374,216.0
8_149,40.0294201732,-95.3507733857,242.0
8_216,40.0283999052,-95.3742920209,223.0
8_283,40.0280500186,-95.3978333708,279.0
8_340,40.0409248931,-95.4155134542,252.0
8_403,40.057842685,-95.4206831008,219.0
8_463,40.0737585156,-95.4091104667,246.0
8_527,40.0910344429,-95.4100716749,248.0
8_585,40.1059310583,-95.3954639512,169.0
8_648,40.1229625318,-95.3951818586,234.0
8_711,40.1296727562,-95.4168936473,199.0
8_771,40.1421681585,-95.433182544,219.0
8_836,40.1596468587,-95.4373289386,233.0
8_897,40.167968882,-95.4591148568,254.0
8_952,40.1820628857,-95.4761837631,256.0
8_1016,40.1992355136,-95.4819189026,223.0
8_1077,40.2159486949,-95.4712485636,256.0
8_1144,40.2340445729,-95.4717303345,237.0
8_1202,40.2473638098,-95.4870273912,223.0
8_1270,40.2477911321,-95.5110250219,225.0
8_1334,40.2536524212,-95.5334622412,204.0
8_1394,40.2633244489,-95.5544594134,246.0
8_1458,40.2806986285,-95.5508794912,189.0
8_1519,40.2962799336,-95.5611711808,216.0
8_1585,40.2999471288,-95.5846040841,216.0
8_1641,40.3115348752,-95.6041082982,258.0
8_1707,40.3103332114,-95.6273598968,216.0
8_1772,40.3060300958,-95.6501363068,258.0
8_1833,40.3216328477,-95.6532181349,254.0
8_1895,40.3295575407,-95.6316367132,243.0
8_1958,40.3452866742,-95.6232422599,228.0
8_2015,40.3603911823,-95.6363686672,254.0
8_2081,40.3781057045,-95.6416530511,225.0
8_2146,40.3955094038,-95.6486954858,213.0
8_2206,40.4114610297,-95.6601037203,270.0
8_2272,40.4293977404,-95.6556833483,234.0
8_2337,40.4468245923,-95.6616752687,213.0
8_2394,40.460201332,-95.679184923,216.0
8_2451,40.4738781446,-95.6952982617,189.0
9_73,39.3770218678,-93.1338088181,342.0
9_201,39.4068486188,-93.1676661735,339.0
9_340,39.3907180906,-93.1972396144,382.0
9_474,39.355159994,-93.2034071979,339.0
9_609,39.3256309037,-93.23708285,360.0
9_745,39.3093072147,-93.2836561004,379.0
9_894,39.3068716089,-93.3354923582,424.0
9_1031,39.2698473663,-93.3318379766,324.0
9_1171,39.2411222114,-93.3556894131,300.0
9_1309,39.2267738689,-93.4035808043,379.0
9_1444,39.260155097,-93.4048153311,402.0
9_1582,39.2716075681,-93.4514844003,382.0
9_1721,39.2882272506,-93.4863777712,381.0
9_1864,39.2495476277,-93.4918471102,375.0
9_2003,39.2158310469,-93.5060333983,346.0
9_2152,39.2178923283,-93.5578284778,398.0
9_2286,39.2406744752,-93.5972911205,473.0
9_2428,39.231760882,-93.6465727523,360.0
9_2567,39.2201513576,-93.6911235916,393.0
9_2708,39.2083897533,-93.7356581123,379.0
10_2105,38.6707203946,-90.6896299726,546.0
10_2221,38.64965654,-90.7251215016,721.0
10_2332,38.6212735988,-90.7530671272,488.0
10_2449,38.5924322216,-90.7785933808,441.0
10_2573,38.5798618955,-90.821682537,426.0
10_2685,38.5582400641,-90.858483645,441.0
10_2799,38.5393510246,-90.8975921551,486.0
10_2930,38.5370447452,-90.9427456145,474.0
10_3051,38.553170069,-90.9839401264,379.0
10_3167,38.5731352678,-91.0212601684,453.0
10_3282,38.6031446204,-91.0455839547,468.0
10_3411,38.6064452929,-91.0899360462,510.0
10_3541,38.6016282752,-91.1348472021,727.0
10_3669,38.6115102508,-91.1786920391,660.0
10_3798,38.6205706121,-91.2229139742,429.0
10_3921,38.6533781004,-91.2383063021,509.0
10_4026,38.6774228109,-91.2735820414,424.0
10_4129,38.7022630404,-91.3085175385,509.0
10_4249,38.6975847774,-91.3500226309,886.0
10_4376,38.706707494,-91.3936282787,476.0
10_4508,38.7092159961,-91.4391143039,473.0
10_4636,38.6993921615,-91.4834841758,481.0
10_4759,38.6857457872,-91.5261958617,426.0
11_141,38.56228383,-91.9932135929,216.0
11_360,38.5198166067,-92.022540149,298.0
11_464,38.4915814787,-92.0084740403,189.0
11_564,38.4692233672,-92.0343999171,292.0
11_679,38.466298691,-92.0739844536,234.0
11_789,38.4565892457,-92.1119297792,189.0
11_888,38.4731925836,-92.1450852662,190.0
11_994,38.4581853328,-92.1634858323,234.0
11_1098,38.4304970154,-92.1479948871,237.0
11_1196,38.4118826409,-92.1169443088,169.0
11_1301,38.3854821319,-92.1296311628,216.0
11_1409,38.3765601024,-92.1668307707,151.0
11_1508,38.4005102796,-92.1894029824,156.0
11_1608,38.4232442554,-92.2126905461,117.0
11_249,38.5498568741,-92.0262647992,284.0
15_72,38.7996357033,-92.3797489673,409.0
15_121,38.7864212352,-92.3859082064,420.0
15_163,38.7762149284,-92.3987741995,618.0
15_209,38.765177839,-92.4080175725,420.0
15_260,38.7513792436,-92.4058874674,403.0
15_305,38.7394348627,-92.3963212163,510.0
15_353,38.7338062192,-92.3798009435,532.0
15_404,38.7300619697,-92.36223112,429.0
15_445,38.7202556721,-92.3488596326,363.0
15_492,38.7075141448,-92.3425921201,458.0
15_535,38.6970354012,-92.3542449531,351.0
15_582,38.6846367972,-92.3610823974,671.0
15_627,38.6752406796,-92.3485779077,370.0
15_677,38.6716289826,-92.3313676448,443.0
15_729,38.6690920672,-92.3134591736,371.0
15_780,38.6662841609,-92.295899469,417.0
15_827,38.6595622737,-92.2797596339,416.0
15_868,38.6497488231,-92.2667572506,534.0
15_915,38.6443768378,-92.2509545158,531.0
15_966,38.6450739509,-92.2333659795,371.0
16_702,39.1910399413,-92.8690921113,402.0
16_740,39.1833492273,-92.881958379,366.0
16_780,39.1761986785,-92.8958629855,402.0
16_819,39.1656627236,-92.9040392379,389.0
16_865,39.1532285441,-92.9054449414,436.0
16_909,39.1413370396,-92.9094530171,474.0
16_947,39.1314772305,-92.9195314439,373.0
16_992,39.1279726178,-92.9351540022,426.0
16_1034,39.118650819,-92.9443589388,408.0
16_1080,39.1062153923,-92.9443687168,445.0
16_1120,39.0983691266,-92.9320587205,321.0
16_1166,39.0966015515,-92.9161018441,502.0
16_1209,39.0880789877,-92.9069195233,300.0
16_1251,39.0767295393,-92.9130039281,381.0
16_1290,39.0695746939,-92.9261908515,429.0
16_1331,39.0597121494,-92.934176254,474.0
16_1375,39.0478140138,-92.928640311,345.0
16_1416,39.0367249846,-92.9206789177,360.0
16_1460,39.0248267928,-92.9160134614,445.0
16_1500,39.0140073392,-92.9082295253,424.0
16_1541,39.0080478241,-92.8940310354,372.0
16_1582,39.0026272585,-92.8798340167,373.0
16_1619,38.9934229684,-92.868071267,402.0
16_1655,38.9844886751,-92.8570037712,373.0
18_462,38.9751074184,-92.6897445735,375.0
18_504,38.9753381775,-92.6751976228,390.0
18_546,38.9758374598,-92.6606493004,375.0
18_587,38.9752546305,-92.6464524956,360.0
18_628,38.973723898,-92.6322608307,360.0
18_668,38.9707057269,-92.6184240783,408.0
18_707,38.9675519246,-92.6049355512,379.0
18_748,38.967232663,-92.590739359,465.0
18_789,38.9696150231,-92.5765272138,459.0
18_828,38.9711872393,-92.5630117289,379.0
18_862,38.9647897091,-92.5512775297,381.0
18_896,38.9558323682,-92.5419856556,375.0
18_928,38.9478176834,-92.5319975292,424.0
18_962,38.9408763828,-92.5202736257,381.0
18_994,38.9329935629,-92.5099430004,479.0
18_1027,38.9240344228,-92.50100654,300.0
18_1058,38.9161499055,-92.4906804881,522.0
18_1090,38.907994146,-92.4803586926,396.0
18_1128,38.8976990222,-92.4754174183,801.0
18_1168,38.8868988165,-92.4784370086,390.0
18_1208,38.8760800054,-92.4773056286,625.0
18_1239,38.8676566658,-92.4678576284,424.0
18_1270,38.8592301596,-92.4578932245,408.0
18_1305,38.8497328806,-92.4503594795,375.0
18_1344,38.83916611,-92.445428579,424.0
18_1378,38.8299325311,-92.4366868208,408.0
18_1410,38.821773714,-92.4267291647,384.0
18_1449,38.8181924505,-92.4132807695,454.0
18_1490,38.8187962774,-92.3991074617,360.0
19_582,38.6939879542,-91.7461052551,513.0
19_609,38.6875931144,-91.7548399796,510.0
19_638,38.6839150901,-91.7649060071,487.0
19_671,38.6820075304,-91.7763204093,443.0
19_705,38.6821296316,-91.7880448664,465.0
19_739,38.6825208538,-91.7997648787,480.0
19_771,38.6802009202,-91.810840098,496.0
19_800,38.6755719637,-91.8209178599,536.0
19_830,38.6714861598,-91.8313303383,591.0
19_859,38.6671256917,-91.8414012323,444.0
19_890,38.6635820091,-91.8521474799,546.0
19_921,38.6603076237,-91.8628884129,531.0
19_949,38.6555355982,-91.8726175109,622.0
19_978,38.6510363387,-91.8826858299,559.0
19_1008,38.6429764331,-91.887981703,489.0
19_1038,38.6349162591,-91.8932763735,632.0
19_1065,38.6279581152,-91.9007931469,450.0
19_1092,38.6215497176,-91.9093339524,530.0
19_1118,38.6162266871,-91.9183737998,468.0
19_1145,38.6098185303,-91.9270839093,450.0
19_1170,38.6031299802,-91.9347630315,607.0
19_1196,38.596989304,-91.9432939141,564.0
28_8,39.3828625084,-93.1059529114,375.0
28_23,39.3825968263,-93.1007274555,384.0
28_37,39.3815196554,-93.0958492648,354.0
28_50,39.3800365227,-93.0913190216,387.0
28_62,39.3776068229,-93.0871361098,339.0
28_73,39.3746360766,-93.0833011453,360.0
28_86,39.3713941607,-93.0805110424,366.0
28_99,39.3678813853,-93.0784174254,389.0
28_113,39.3640977874,-93.0770202138,389.0
28_128,39.3600432776,-93.0764934232,405.0
28_143,39.3559884204,-93.0764890011,420.0
28_158,39.3519335603,-93.0764845799,426.0
28_173,39.347878468,-93.0768283239,450.0
28_188,39.3438238315,-93.0764757401,399.0
28_202,39.3400401941,-93.0750791144,379.0
28_216,39.3362566473,-93.0735085865,442.0
28_228,39.3330140483,-93.071416646,416.0
28_240,39.3297722306,-93.0679326006,408.0
28_251,39.3268004387,-93.064797185,396.0
28_263,39.3243697599,-93.060618366,405.0
28_275,39.3220740927,-93.0564399445,370.0
28_288,39.3200487559,-93.0519139714,416.0
28_301,39.3180232423,-93.0473882586,391.0
28_315,39.3164031683,-93.042515046,382.0
28_328,39.3150531028,-93.0379902047,356.0
28_342,39.3139732866,-93.0331176695,305.0
28_357,39.3130285131,-93.0278973468,352.0
28_371,39.3124889264,-93.0230252841,371.0
28_386,39.3123546786,-93.0178054122,364.0
28_401,39.31235536,-93.0125855846,360.0
28_415,39.3126261109,-93.0077137752,330.0
28_430,39.3123560135,-93.0024939177,371.0
28_445,39.3126263345,-92.9972740794,414.0
28_460,39.3128964214,-92.992054201,371.0
28_474,39.3135718023,-92.9871822007,353.0
28_489,39.3142469258,-92.9819621096,371.0
28_503,39.3147867211,-92.9770899632,400.0
28_518,39.3147855768,-92.9718699554,335.0
28_533,39.3138380573,-92.9666503974,348.0
28_546,39.3122147169,-92.9621273265,375.0
55_143,42.8815810844,-99.0243067059,462.0
55_424,42.8447726987,-99.1259893772,381.0
55_713,42.8131362782,-99.2305059695,360.0
55_1000,42.7819556195,-99.3312508808,277.0
55_1284,42.7594646094,-99.4325050456,561.0
55_1573,42.7212544037,-99.5251238386,339.0
55_1868,42.7284172225,-99.6314545028,312.0
55_2167,42.7341091258,-99.7410903726,189.0
55_2457,42.7514739439,-99.8472398947,84.0
56_6217,41.7798560476,-99.1079992068,42.0
56_6483,41.7235531373,-99.0577696876,108.0
56_6749,41.6851955098,-98.9798737288,96.0
56_7014,41.6270780209,-98.9276705547,121.0
56_7279,41.5818833034,-98.8553820493,148.0
56_7822,41.5039830475,-98.7362136512,159.0
56_8086,41.4364710186,-98.6991417742,180.0
56_8341,41.3803437973,-98.6335642248,171.0
56_8589,41.3212053715,-98.5677604826,115.0
56_8861,41.2670752468,-98.5129610475,142.0
56_9123,41.2662706428,-98.4262935376,138.0
57_134,41.3935830542,-97.3522272497,278.0
57_397,41.3739558188,-97.4467097941,176.0
57_912,41.3178839297,-97.6272541626,237.0
57_1159,41.272552864,-97.7028846001,169.0
57_1890,41.1264495359,-97.9212696503,169.0
57_2615,40.9821424353,-98.1470397119,396.0
57_2857,40.9302233884,-98.2187958087,484.0
57_3097,40.8703675596,-98.281801631,261.0
57_3339,40.8153732858,-98.3505149015,202.0
57_3598,40.7870482907,-98.4375492497,228.0
57_3857,40.7548867209,-98.5277356194,244.0
57_4123,40.7379339696,-98.6209458707,340.0
57_4653,40.6938030928,-98.8076093524,151.0
58_5543,41.9045490934,-96.7901229504,123.0
58_6048,41.7841219037,-96.7316328156,123.0
58_7296,41.6182823118,-96.4999966385,127.0
58_8277,41.4631462855,-96.3885118147,105.0
58_9522,41.2117180496,-96.2886953352,105.0
58_9771,41.1570701024,-96.3088255261,136.0
60_3365,41.39520683,-99.0989267799,246.0
60_3498,41.3711803057,-99.065528327,123.0
60_3628,41.3368712157,-99.0441605973,127.0
60_3755,41.3098559845,-99.010811594,169.0
60_3887,41.276347494,-98.9962984758,129.0
60_4014,41.2541811567,-98.959416365,171.0
60_4146,41.2201254095,-98.9449422695,84.0
60_4277,41.1863325099,-98.9220764424,189.0
60_4410,41.1571270714,-98.8970816914,95.0
60_4535,41.1308778317,-98.8626317373,159.0
60_4664,41.1024613031,-98.8316088802,225.0
60_4792,41.0798393602,-98.7964880699,129.0
60_4921,41.0682704497,-98.7536741421,171.0
60_5050,41.0634576266,-98.7172726103,60.0
61_730,41.413658573,-97.0466185038,491.0
61_823,41.4133571505,-97.0132464169,473.0
61_901,41.4281664709,-96.9869455663,551.0
61_1065,41.4546153925,-96.9318941678,437.0
61_1156,41.4571287717,-96.8991293567,571.0
61_1248,41.4569257112,-96.8660919882,390.0
61_1337,41.4490375256,-96.8343881617,360.0
61_1428,41.4470676513,-96.8017740742,379.0
61_1516,41.4521299999,-96.7699984525,360.0
61_1607,41.4490618079,-96.737423126,511.0
61_1686,41.4348720672,-96.7099105764,480.0
61_1776,41.4286893289,-96.6778169402,495.0
61_1862,41.4364320798,-96.6466622655,474.0
62_819,42.3091838457,-96.3701826181,211.0
62_900,42.2872300802,-96.3670942701,225.0
62_971,42.2707946434,-96.3455900676,216.0
62_1354,42.1725679923,-96.3504304313,208.0
62_1579,42.1254716043,-96.2888849423,210.0
62_1737,42.0880582671,-96.2719820317,237.0
62_1820,42.0663520559,-96.2794385892,208.0
62_2214,41.994160434,-96.1984954145,202.0
62_2369,41.9739317335,-96.1450757398,235.0
62_2525,41.9319224615,-96.1397151878,223.0
62_2603,41.9136074876,-96.1474060943,228.0
62_2683,41.8969915962,-96.1582713311,234.0
62_2759,41.8764330917,-96.1463499541,170.0
62_2832,41.8592012862,-96.1270593317,237.0
62_2908,41.8422363792,-96.1077668382,219.0
63_427,42.8024030448,-97.1707870555,585.0
63_497,42.7898509511,-97.1462145797,678.0
63_569,42.7710743324,-97.1295405625,531.0
63_651,42.7663941359,-97.0996154191,819.0
63_734,42.7660201852,-97.0691944142,1005.0
63_818,42.7638768437,-97.0384630107,1063.0
63_900,42.7598480405,-97.0085274374,1230.0
63_981,42.7577079248,-96.9789009729,579.0
63_1212,42.7226836954,-96.9313077266,586.0
63_1286,42.7326053872,-96.9049595125,861.0
63_1441,42.7203623271,-96.8493150666,844.0
63_1511,42.705497087,-96.8274845445,995.0
63_1669,42.6743665863,-96.8029419327,651.0
63_1743,42.6626758497,-96.7780969349,445.0
63_1824,42.6620970588,-96.7484684976,720.0
63_1905,42.6628603825,-96.7187915699,754.0
63_2050,42.6286009314,-96.7010199452,424.0
63_2128,42.6079865888,-96.7103729465,778.0
63_2197,42.5890298656,-96.6946148792,432.0
63_2267,42.5712303719,-96.6760819311,237.0
63_2492,42.5212624994,-96.6304581722,258.0
63_2563,42.5047764501,-96.6106348336,270.0
63_2641,42.5083633071,-96.5820176869,296.0
63_2714,42.5190156169,-96.5556778875,284.0
63_2790,42.5115373677,-96.5282179708,254.0
64_1190,42.7825571506,-98.5658060453,189.0
64_1259,42.7801620933,-98.5405167031,278.0
64_1326,42.7789802533,-98.5159533475,108.0
64_1391,42.7715893856,-98.4936419636,203.0
64_1458,42.7664803076,-98.4691164391,242.0
64_1527,42.7694669693,-98.4437892388,216.0
64_1593,42.7762449673,-98.4213579852,189.0
64_1664,42.7734089651,-98.395347678,323.0
64_1735,42.772458099,-98.3693206258,270.0
64_1806,42.7706908853,-98.3433030049,252.0
64_1875,42.7652751879,-98.3180602716,366.0
64_1943,42.7591808573,-98.2931962867,313.0
64_2010,42.7529484284,-98.2687053965,311.0
64_2077,42.746710793,-98.2442194798,325.0
64_2145,42.7401953171,-98.2193754414,298.0
64_2209,42.7311210401,-98.1964020387,279.0
64_2271,42.7205590827,-98.1738214746,312.0
68_198,41.6255236806,-98.2590786006,63.0
68_254,41.6166284701,-98.241716306,60.0
